"","AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus3707",0.0833,0.0625,0.1,0,0,0,0,0.0909,0,0,0,0,0.0625,0.0833,0.2778,0,0.0625,0,0,0,0,0,0,0
"locus3708",0,0.125,0.05,0,0,0.2083,0.0556,0.0455,0,0.35,0,0.3889,0,0,0.0556,0,0,0.0556,0,0,0.05,0.1,0,0.0417
"locus3709",0,0,0.05,0.1364,0,0.0833,0,0,0.0625,0,0,0,0,0.0417,0,0,0.0625,0,0.0833,0.0556,0.1,0.1,0.0909,0
"locus3710",0,0,0,0,0,0,0.1667,0,0,0,0.125,0,0,0,0,0,0,0,0.3333,0,0,0,0.0455,0.125
"locus3711",0.0833,0,0.05,0.0909,0.0714,0.125,0.0556,0.0455,0,0,0,0,0.0625,0.25,0,0.1667,0,0,0,0.2778,0.2,0.15,0.0909,0.0417
"locus3712",0.0417,0,0,0,0,0,0,0.0455,0,0,0,0,0.0625,0,0,0,0.125,0.2778,0,0.0556,0,0.1,0.0909,0
"locus3713",0.0833,0,0.05,0,0,0.0417,0.1111,0.0909,0,0,0,0,0,0,0.0556,0.1667,0,0.0556,0,0,0.05,0,0.0455,0.0417
"locus3714",0.0833,0.0625,0.05,0,0.0714,0.25,0.1111,0.2727,0.1875,0.1,0.125,0.0556,0.25,0.125,0.1111,0.1667,0.0625,0.1667,0.0833,0.1111,0,0,0.2273,0
"locus3715",0,0.125,0,0,0,0.0833,0,0.1364,0,0.05,0,0,0,0,0,0.1667,0.0625,0,0,0,0.05,0,0,0
"locus3716",0,0.125,0,0,0.0714,0.2083,0,0,0.25,0.25,0,0.2222,0,0.0833,0,0,0,0,0.0833,0,0,0,0.1818,0
"locus3717",0.2083,0.375,0.4,0.3182,0.3571,0.2917,0.1667,0.4091,0.0625,0.25,0.1875,0.4444,0.4375,0.4583,0.3889,0.3333,0.3125,0.2222,0.3333,0.2222,0.45,0.45,0.1818,0.0833
"locus3718",0.4167,0.4375,0.25,0.3182,0.1429,0.4167,0.4444,0.3636,0.25,0.35,0.4375,0.3889,0.4375,0.4167,0.4444,0.1667,0.4375,0.4444,0.4167,0.3333,0.45,0.45,0.5,0.375
"locus3719",0,0,0.1,0.1818,0.0714,0,0,0.1364,0,0.2,0.0625,0.4444,0,0.0833,0,0,0,0,0,0,0.05,0.1,0,0.125
"locus3720",0.0417,0.0625,0.2,0,0.1429,0,0.0556,0,0.0625,0.05,0.0625,0,0,0.0833,0,0,0.125,0.1667,0.0833,0.4444,0,0,0.1364,0.125
"locus3721",0.375,0.125,0.4,0.4091,0,0.0417,0.5,0.4091,0.4375,0.15,0.4375,0,0.375,0.3333,0.4444,0.3333,0.5,0.3333,0.5,0.4444,0.35,0.2,0.4545,0.4583
"locus3722",0.0417,0,0,0.3182,0,0.0833,0.2222,0.0909,0,0,0.3125,0,0,0.0833,0,0.1667,0,0.2222,0.3333,0.5,0.25,0.2,0.0455,0.0833
"locus3723",0.3333,0,0.1,0.4545,0,0.0417,0,0,0.1875,0,0.125,0,0.1875,0.0417,0.3333,0,0.0625,0,0.0833,0.1667,0.3,0.05,0.1818,0.0417
"locus3724",0.0417,0.1875,0.05,0,0,0.0417,0.1111,0.0455,0,0,0.0625,0,0,0.0417,0.0556,0,0.125,0.0556,0.25,0,0,0.05,0,0.0417
"locus3725",0.2917,0.4375,0.4,0.4091,0.2857,0.2083,0.3333,0.3636,0.1875,0.4,0.4375,0.2778,0.25,0.4167,0.2778,0,0.3125,0.2778,0.25,0.3333,0.3,0.45,0.5,0.4583
"locus3726",0.0417,0.0625,0,0.1364,0.2143,0,0.0556,0.0455,0,0.2,0,0,0.125,0,0.0556,0,0.125,0.0556,0.1667,0,0,0.1,0.0455,0.0417
"locus3727",0.4167,0.5,0.15,0.4545,0.3571,0.4583,0.1667,0.4091,0.3125,0.45,0.25,0.3889,0.375,0.4167,0.4444,0.3333,0.125,0.5,0.25,0.3333,0.5,0.4,0.3636,0.2083
"locus3728",0.375,0.25,0.45,0.2727,0,0.25,0.2222,0.3636,0.25,0.15,0.25,0,0.5,0.4167,0.4444,0.3333,0.1875,0.3333,0.5,0.2778,0.2,0.25,0.2727,0.25
"locus3729",0.3333,0.125,0.15,0.0455,0,0,0.0556,0.2273,0.1875,0.05,0.1875,0.0556,0.1875,0.125,0.4444,0,0.0625,0.2222,0.0833,0.1667,0.1,0.05,0.2273,0
"locus3730",0.1667,0.5,0.35,0.2727,0.3571,0.375,0.3889,0.4545,0.4375,0.35,0.5,0.2222,0.375,0.375,0.2222,0.3333,0.5,0.3333,0.25,0.5,0.45,0.45,0.3636,0.2083
"locus3731",0,0.0625,0,0,0.1429,0,0.4444,0,0,0.05,0.125,0,0,0,0,0,0,0,0,0.0556,0.05,0,0,0.5
"locus3732",0.1667,0,0.15,0,0,0.0833,0,0.1364,0.3125,0,0.0625,0,0.0625,0.0417,0,0,0,0.3333,0,0,0.05,0.05,0.0455,0
"locus3733",0.3333,0.3125,0.45,0.1364,0,0.4167,0.0556,0.5,0.375,0.45,0.125,0.4444,0.5,0.375,0.1667,0.5,0.375,0.5,0.3333,0.5,0.3,0.35,0.2273,0.0417
"locus3734",0,0,0.1,0,0.2143,0.1667,0.0556,0.0455,0,0.05,0.1875,0.0556,0.0625,0.0417,0,0,0,0,0,0,0,0,0,0.125
"locus3735",0.0417,0.125,0,0,0.0714,0.125,0,0,0.0625,0.25,0,0,0,0.1667,0,0,0.125,0,0.1667,0,0,0.1,0,0.0833
"locus3736",0.0833,0.375,0.2,0.3636,0.1429,0.4583,0.2778,0.1818,0.4375,0.45,0.5,0.3333,0.4375,0.375,0.4444,0.3333,0.5,0.4444,0.1667,0.0556,0.1,0.45,0.3636,0.4167
"locus3737",0.2083,0.0625,0.1,0.0455,0.1429,0.0417,0.2222,0.0455,0.0625,0.15,0.1875,0.0556,0.125,0.2083,0.1667,0.1667,0.125,0.0556,0.1667,0.0556,0.1,0.15,0.0909,0.3333
"locus3738",0,0.3125,0,0,0.4286,0.4167,0,0,0.125,0.45,0,0.4444,0,0.0417,0,0,0,0,0,0,0,0,0.1818,0.0833
"locus3739",0.4583,0.4375,0.4,0.4091,0.5,0.3333,0.3333,0.5,0.5,0.2,0.375,0.3889,0.3125,0.5,0.5,0.5,0.4375,0.4444,0.5,0.3889,0.3,0.4,0.4091,0.375
"locus3740",0.0417,0.3125,0.05,0.2727,0.1429,0.1667,0.0556,0.0455,0.4375,0.05,0,0,0,0.0417,0,0.1667,0.125,0.2222,0.0833,0,0,0.2,0.0909,0.2083
"locus3741",0.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111,0,0.0625,0,0,0.4444,0.05,0,0.0455,0
"locus3742",0,0,0.1,0.0455,0,0,0,0,0.0625,0,0,0,0.125,0,0.0556,0,0.125,0,0,0,0.05,0,0,0.0417
"locus3743",0,0.0625,0,0,0,0.4167,0.2778,0,0,0.15,0.0625,0.2222,0.0625,0.0417,0,0,0.0625,0,0.0833,0.0556,0,0.1,0,0.0417
"locus3744",0.2917,0.3125,0.15,0.3636,0.3571,0.4583,0.1667,0.1818,0.375,0.25,0,0.1667,0.3125,0.1667,0.2222,0.3333,0.1875,0.2778,0.1667,0,0.35,0.25,0.1364,0.25
"locus3745",0.25,0.5,0.2,0.1364,0.2143,0.2917,0.1667,0.2727,0.375,0.25,0.25,0.3889,0.25,0.25,0.4444,0.1667,0.125,0.4444,0.0833,0.1111,0.2,0.25,0.4545,0.375
"locus3746",0,0,0,0,0,0,0.1111,0,0,0,0.0625,0,0,0.0417,0,0,0.0625,0.0556,0,0,0,0.15,0,0.0833
"locus3747",0,0.0625,0.1,0,0,0,0,0.1364,0,0,0,0,0,0.0833,0,0,0.125,0,0,0.2222,0.15,0.1,0,0
"locus3748",0.2083,0,0.1,0.0455,0.2857,0.2083,0.3333,0,0.0625,0.15,0.125,0.2222,0.125,0.0417,0.3333,0,0.0625,0.0556,0.3333,0,0,0,0.1364,0.375
"locus3749",0.5,0,0,0.2273,0.0714,0.0833,0.0556,0.2727,0,0.1,0.25,0,0.0625,0.0833,0.4444,0.1667,0.1875,0.2222,0.0833,0.4444,0.4,0,0.2727,0.0417
"locus3750",0.0417,0.0625,0.05,0.0455,0,0.0833,0,0.0455,0.0625,0,0.0625,0.1111,0.0625,0.0833,0.1667,0,0.125,0.1111,0,0.1111,0.05,0.2,0.2273,0
"locus3751",0,0.375,0.4,0.4545,0.3571,0.5,0.3889,0.4091,0.0625,0.4,0.125,0.5,0.3125,0.2083,0,0.5,0.375,0.3889,0.4167,0.3333,0.1,0.25,0.2727,0.4583
"locus3752",0,0,0.05,0.0455,0,0.125,0,0.0455,0,0.1,0,0,0.0625,0.0417,0.0556,0,0.0625,0.0556,0,0,0,0,0,0
"locus3753",0,0,0.05,0,0,0,0.0556,0.0455,0.0625,0,0.125,0,0,0.0833,0,0.1667,0.0625,0,0.3333,0,0,0.05,0,0.0417
"locus3754",0.0417,0,0.05,0,0,0.0417,0.1667,0.0455,0,0,0.0625,0.0556,0,0.125,0,0,0,0.0556,0.1667,0,0.05,0,0,0.0417
"locus3755",0.0833,0,0,0,0,0,0.0556,0.1364,0,0.05,0,0,0.0625,0.0833,0,0,0.125,0.1667,0,0.1111,0.05,0,0.0455,0
"locus3756",0,0.1875,0,0.2273,0.0714,0.0833,0.0556,0.1364,0.0625,0,0,0,0,0.125,0.2222,0.1667,0.0625,0.1111,0.0833,0,0.15,0,0.0455,0
"locus3757",0.0417,0.3125,0.05,0,0.0714,0,0.0556,0,0.0625,0,0.0625,0,0,0.0833,0,0,0.3125,0.0556,0,0.2778,0.05,0.15,0,0
"locus3758",0,0,0.05,0,0.0714,0.25,0.0556,0.0909,0.0625,0,0,0,0.0625,0.0417,0,0,0,0,0.1667,0,0,0.15,0.0455,0
"locus3759",0,0,0,0,0,0,0.4444,0,0,0.05,0,0,0,0.0417,0,0,0.0625,0.0556,0,0.0556,0,0.05,0,0.125
"locus3760",0.0417,0.25,0,0,0.2143,0.125,0,0,0,0.25,0,0.3889,0,0.0417,0,0,0,0,0,0.0556,0,0,0,0.0417
"locus3761",0,0.125,0,0,0.0714,0.0417,0,0,0,0.1,0.0625,0.2778,0,0,0.0556,0,0,0,0,0.1667,0.05,0,0.0909,0.125
"locus3762",0,0,0,0,0.1429,0,0.0556,0,0.125,0.15,0,0.0556,0,0,0,0,0,0,0,0,0,0.05,0.0909,0.0417
"locus3763",0.125,0,0.05,0,0,0,0.0556,0,0.0625,0,0,0,0,0.0417,0.2778,0,0,0,0,0,0.2,0,0.1364,0.0417
"locus3764",0.25,0,0.05,0.1818,0,0,0,0,0,0.05,0.1875,0,0.125,0,0.1667,0,0,0,0,0.3889,0,0,0.2273,0
"locus3765",0.4167,0.4375,0.35,0.4545,0.3571,0.2917,0.4444,0.5,0.25,0.1,0.4375,0.3889,0.5,0.5,0.2778,0.5,0.4375,0.5,0.5,0.1111,0.4,0.45,0.4545,0.375
"locus3766",0.0417,0.0625,0,0.0455,0,0,0,0.0909,0.125,0,0.0625,0,0,0,0.0556,0,0.125,0,0,0,0.05,0,0,0.0417
"locus3767",0.0417,0.1875,0.05,0.0455,0.2143,0.0833,0,0.0455,0.25,0,0.0625,0,0.125,0,0.1111,0,0,0,0,0,0,0,0,0
"locus3768",0.0417,0.0625,0,0.0909,0,0.0417,0.0556,0,0,0,0.0625,0,0.0625,0.0417,0,0,0.125,0,0,0.4444,0.2,0,0,0
"locus3769",0,0,0.15,0.1364,0,0.0417,0,0.0909,0,0.05,0.0625,0,0,0,0.0556,0,0,0.1111,0.0833,0.2778,0.1,0.2,0.2273,0
"locus3770",0.0417,0,0,0,0.0714,0.125,0,0,0,0.5,0,0.2778,0.0625,0,0,0,0,0,0,0,0,0,0.0909,0
"locus3771",0.2083,0,0.05,0.1364,0.1429,0.0833,0.0556,0,0.1875,0.1,0.25,0.0556,0.125,0.0833,0,0.3333,0.125,0.0556,0.25,0.3333,0.15,0.2,0.2727,0.2083
"locus3772",0.375,0.25,0.5,0.2727,0.5,0.5,0.1111,0.4091,0.4375,0.45,0.1875,0.3333,0.4375,0.4167,0.3889,0.1667,0.4375,0.3333,0.25,0.0556,0.2,0.35,0.4091,0.3333
"locus3773",0.0833,0.0625,0.1,0,0,0,0,0,0,0,0.25,0,0,0,0.1111,0,0,0,0,0,0.1,0.05,0,0
"locus3774",0.125,0.25,0.1,0,0,0.375,0.1111,0,0,0.3,0,0.2222,0.125,0.0833,0,0.3333,0.125,0,0,0.1111,0,0.1,0.0455,0
"locus3775",0.0417,0,0.1,0.0455,0,0,0,0.3636,0,0,0.125,0,0,0.125,0,0,0.0625,0,0,0,0,0.05,0,0
"locus3776",0,0,0,0,0,0,0.2778,0,0,0.05,0,0,0,0.0417,0,0,0.125,0,0.3333,0.1111,0,0,0.0455,0.25
"locus3777",0.0417,0.3125,0.1,0,0.3571,0.25,0.0556,0,0.1875,0.3,0,0.4444,0.125,0.0833,0,0,0.0625,0,0.0833,0.0556,0,0.05,0.0455,0.0417
"locus3778",0,0.1875,0.15,0,0.1429,0.2083,0.1111,0.2273,0.0625,0.05,0.0625,0.1667,0.25,0.2917,0,0,0.25,0.1111,0,0.0556,0.05,0,0.2273,0.1667
"locus3779",0.0417,0,0.3,0,0,0,0.1111,0.2727,0,0.05,0.0625,0,0.375,0.2083,0,0,0.3125,0.3333,0.1667,0,0.2,0.1,0.1818,0
"locus3780",0.2083,0,0.2,0,0.0714,0,0,0.3182,0,0.05,0,0,0.3125,0.3333,0.0556,0.1667,0.375,0.1667,0.1667,0.0556,0.1,0,0.0455,0
"locus3781",0.0833,0,0,0,0,0,0.0556,0,0,0,0,0.0556,0,0.125,0,0,0.125,0,0,0,0.1,0.1,0,0
"locus3782",0.0417,0.0625,0,0.1364,0.0714,0,0.1111,0,0.0625,0,0,0,0,0,0,0.1667,0.0625,0,0.0833,0,0.05,0,0,0
"locus3783",0.125,0.3125,0.4,0.1818,0.0714,0.125,0.0556,0.4545,0.0625,0.05,0.3125,0,0.4375,0.4167,0.0556,0.3333,0.3125,0.1111,0.3333,0.0556,0.2,0.35,0.0909,0
"locus3784",0.25,0.1875,0.45,0.4545,0.4286,0.375,0.4444,0.4545,0.375,0.1,0.375,0.0556,0.5,0.4583,0.2222,0.3333,0.375,0.4444,0.25,0.3333,0.5,0.4,0.4545,0.375
"locus3785",0,0.0625,0,0,0,0,0,0.0455,0,0,0.1875,0,0.0625,0,0.1111,0,0,0.0556,0.25,0.0556,0,0,0,0
"locus3786",0.0417,0.25,0.25,0.1364,0.1429,0.25,0.2222,0.1364,0.0625,0.25,0.1875,0.3889,0.25,0.1667,0,0,0.1875,0.1111,0.3333,0.2222,0.15,0.15,0.1818,0.25
"locus3787",0.0833,0,0.15,0,0,0,0,0.1364,0,0,0.0625,0,0,0.0833,0.1111,0.1667,0.125,0.1111,0,0.1111,0.1,0.05,0,0
"locus3788",0.0417,0,0.2,0.0455,0,0.0417,0.0556,0.0455,0.0625,0.05,0,0,0.0625,0.0417,0.0556,0.1667,0,0,0.1667,0,0.05,0,0,0.0833
"locus3789",0,0,0.25,0,0,0,0,0,0,0.05,0,0,0.0625,0.2083,0,0,0.0625,0,0,0,0,0,0.0455,0
"locus3790",0.0417,0,0,0,0.2857,0,0,0,0,0,0,0,0,0,0.3889,0,0,0,0.0833,0,0,0,0.2273,0.1667
"locus3791",0,0,0.3,0,0,0.0417,0,0.0909,0,0,0,0,0.1875,0.0833,0,0,0.0625,0,0,0,0,0.1,0,0
"locus3792",0.5,0.125,0.25,0.2727,0.5,0.375,0.3333,0.4545,0.4375,0.15,0.4375,0.1111,0.4375,0.4167,0.5,0.3333,0.3125,0.1667,0.3333,0.4444,0.5,0.45,0.1818,0.2917
"locus3793",0.2083,0.375,0.3,0.0455,0,0.125,0,0.4091,0,0.15,0.125,0.0556,0.1875,0.2917,0,0,0.25,0.2778,0,0.1111,0.25,0.2,0.0909,0.0833
"locus3794",0,0.1875,0,0.0455,0,0.1667,0,0,0,0.05,0.125,0.1667,0,0.0833,0,0,0,0,0,0.1111,0,0,0,0.0417
"locus3795",0.0833,0,0.05,0.3182,0.0714,0,0,0.1818,0,0,0,0,0,0,0.0556,0.1667,0,0,0,0,0,0,0.1818,0
"locus3796",0.0417,0,0.05,0.1818,0.0714,0.0833,0.2222,0.1818,0,0,0,0.0556,0.0625,0.0417,0,0.3333,0.0625,0.0556,0,0.1667,0.05,0,0.0455,0.125
"locus3797",0,0.5,0.2,0.1364,0.3571,0.375,0.3889,0.3182,0.1875,0.15,0.1875,0.3333,0.5,0.2917,0.0556,0.3333,0.375,0,0.4167,0,0.15,0.4,0.3182,0.4583
"locus3798",0.0833,0,0,0.0455,0.2143,0.125,0.0556,0,0,0.2,0,0.0556,0.0625,0.0417,0,0,0,0,0,0.2222,0.25,0,0.0909,0
"locus3799",0.125,0.0625,0.05,0.1364,0,0.0417,0,0,0,0,0,0,0.1875,0,0.1111,0,0,0.0556,0,0,0.4,0,0,0
"locus3800",0.0417,0,0,0,0,0.0417,0,0,0,0.05,0,0.1111,0.0625,0,0,0,0,0,0,0,0.1,0.1,0,0
"locus3801",0.2917,0.125,0.35,0.1818,0.0714,0.2083,0.1667,0.4091,0.1875,0.35,0.125,0.1111,0.4375,0.4167,0.1667,0.3333,0.3125,0.3889,0.0833,0.1111,0.2,0.3,0.0909,0.2083
"locus3802",0.0417,0.0625,0,0.0909,0,0,0.0556,0.0455,0,0.05,0,0,0,0.0417,0,0,0.0625,0,0,0,0.1,0,0.0455,0
"locus3803",0.0417,0,0.1,0,0,0,0.0556,0,0,0.05,0,0,0,0.0833,0,0,0.125,0,0.0833,0,0,0.05,0,0
"locus3804",0.2917,0.1875,0.45,0.2273,0.4286,0.4167,0.3333,0.2727,0.1875,0.5,0.1875,0.3889,0.4375,0.4583,0.3889,0.5,0.4375,0.0556,0.4167,0.1667,0.5,0.2,0.4091,0.5
"locus3805",0.375,0,0.35,0.4545,0,0.125,0.0556,0.3636,0,0.1,0.4375,0,0.1875,0.375,0.2222,0.1667,0.3125,0.2778,0.3333,0.3333,0.15,0.05,0.3636,0.0417
"locus3806",0.25,0.5,0.5,0.0909,0.0714,0.1667,0.3889,0.4091,0,0.15,0.0625,0.1111,0.375,0.4583,0.2778,0.3333,0.3125,0.5,0.1667,0.1111,0.25,0.2,0.1818,0.375
"locus3807",0.25,0.1875,0.15,0.3636,0.4286,0.5,0.2222,0.2727,0.5,0.5,0.5,0.4444,0.125,0.2917,0.1667,0.5,0.125,0.2222,0.5,0.1111,0.15,0.15,0.1364,0.4583
"locus3808",0,0.375,0,0,0.3571,0.1667,0.1667,0,0.25,0.4,0,0.4444,0,0,0,0,0.0625,0,0,0,0.05,0,0.2273,0.2083
"locus3809",0.4167,0.3125,0.4,0.3636,0,0.25,0.3889,0.2273,0.125,0.2,0.375,0,0.25,0.25,0.2222,0.3333,0.3125,0.2222,0.3333,0.2222,0.25,0.45,0.2727,0.25
"locus3810",0.375,0.4375,0.25,0.3182,0.3571,0.375,0.4444,0.2727,0.25,0.3,0.1875,0.3889,0.1875,0.1667,0.2222,0,0.3125,0.2778,0.25,0.2222,0.2,0.3,0.2273,0.375
"locus3811",0.0833,0.0625,0,0.0455,0,0,0,0,0,0,0.0625,0.0556,0.125,0.0417,0.1667,0,0.1875,0.2778,0,0.4444,0.2,0,0.0455,0
"locus3812",0.0833,0,0.05,0,0,0.0417,0,0,0,0,0.0625,0.0556,0,0,0.0556,0,0.0625,0.1111,0,0,0,0,0.0909,0
"locus3813",0.2083,0.375,0.5,0.4545,0.3571,0.3333,0.2778,0.4545,0.4375,0.3,0.4375,0.0556,0.4375,0.25,0.4444,0.5,0.4375,0.3889,0.25,0.2778,0.2,0.45,0.4545,0.4167
"locus3814",0.0417,0,0.15,0,0.0714,0,0.0556,0,0.125,0,0,0,0.125,0.0417,0,0,0,0,0,0,0,0.1,0.0455,0
"locus3815",0.4583,0.375,0.3,0.5,0,0.375,0.2778,0.2273,0.5,0.15,0.25,0.2222,0.1875,0.3333,0.3333,0.3333,0.4375,0.2778,0.3333,0.3889,0.25,0.35,0.2727,0.375
"locus3816",0.25,0,0.05,0,0,0.0417,0,0,0,0,0.0625,0,0,0,0.0556,0,0,0,0.0833,0.0556,0,0,0.0455,0
"locus3817",0.0833,0,0.05,0.1818,0.2143,0.0833,0.0556,0,0,0,0,0,0,0.0833,0,0,0.0625,0.2222,0,0,0,0,0,0.125
"locus3818",0.0833,0,0.1,0.0455,0,0.0417,0,0,0,0,0,0,0.0625,0,0.0556,0,0.0625,0,0,0.0556,0,0.15,0,0.0417
"locus3819",0.0833,0.1875,0.35,0.2273,0,0.2917,0.0556,0.2273,0,0,0.0625,0,0.1875,0.3333,0.1667,0.3333,0.3125,0,0.0833,0.0556,0.1,0.15,0.0909,0.125
"locus3820",0.2083,0,0,0,0,0,0.2222,0,0,0,0.0625,0,0,0.1667,0,0,0,0,0.5,0.1111,0.05,0,0.0455,0.1667
"locus3821",0.0417,0.0625,0.3,0.0455,0,0,0,0.0455,0,0,0.0625,0,0.0625,0.0833,0,0.1667,0,0.2778,0.25,0.0556,0.25,0,0,0
"locus3822",0.375,0.5,0.35,0.4545,0.4286,0.5,0.3889,0.3182,0.3125,0.35,0.3125,0.5,0.4375,0.4583,0.5,0.1667,0.5,0.4444,0.0833,0.3333,0.5,0.45,0.4091,0.375
"locus3823",0.0417,0,0,0,0,0.0417,0,0.0909,0.3125,0.05,0.0625,0,0.1875,0.0833,0.3333,0,0.125,0.2222,0,0.0556,0.1,0,0.1818,0.0417
"locus3824",0.4583,0.125,0.15,0.3636,0.2857,0.125,0.3333,0.1818,0,0.1,0.1875,0,0.1875,0.0417,0.4444,0.1667,0.125,0.1111,0.1667,0.3333,0.35,0,0.2727,0.2083
"locus3825",0,0.125,0,0,0.0714,0,0.0556,0,0,0,0.0625,0,0.0625,0.0833,0,0,0,0.0556,0.1667,0.0556,0,0.05,0.0455,0
"locus3826",0.1667,0.25,0.2,0.0455,0,0.2083,0,0.1364,0,0.2,0.0625,0.0556,0.0625,0.125,0.0556,0.1667,0,0.1111,0.1667,0,0.05,0.2,0.0455,0
"locus3827",0,0.0625,0,0,0.0714,0,0,0,0,0.05,0,0.1111,0,0,0,0,0,0.0556,0.0833,0,0,0,0,0.1667
"locus3828",0.0417,0.4375,0.15,0.1364,0.3571,0.2917,0.3333,0.1364,0.125,0.4,0.375,0.3889,0.125,0.125,0.1111,0.3333,0.375,0.1667,0.25,0.0556,0,0.3,0.4545,0.2083
"locus3829",0,0.125,0.25,0.1364,0.0714,0.125,0.2778,0.2727,0.25,0.15,0,0.2222,0.25,0.1667,0.1667,0.3333,0.1875,0.2778,0.25,0.2222,0.05,0.25,0.1818,0.0833
"locus3830",0.3333,0.375,0.1,0.4091,0.2857,0.25,0.0556,0,0.1875,0.3,0.375,0.3889,0.125,0.0417,0.1111,0.3333,0,0.3333,0,0.4444,0.45,0.05,0.3636,0.0417
"locus3831",0.2083,0,0.05,0,0,0,0,0,0.0625,0.05,0,0,0,0,0.1667,0,0,0,0,0.3333,0,0,0.1364,0
"locus3832",0,0,0.2,0,0,0,0,0.0909,0,0,0,0,0,0.1667,0,0,0,0.1111,0,0,0,0,0,0
"locus3833",0.25,0.25,0.3,0.2273,0,0.3333,0.1111,0.2273,0.4375,0.25,0,0.0556,0.375,0.3333,0.1111,0.1667,0.25,0.2222,0.1667,0,0.2,0.4,0.1818,0
"locus3834",0,0.0625,0.05,0.0455,0.1429,0,0.0556,0,0,0,0.1875,0.2778,0.125,0,0,0,0.125,0,0.0833,0,0.1,0.05,0.1364,0.3333
"locus3835",0.3333,0.25,0.3,0.2273,0.5,0.375,0.4444,0.3182,0.25,0.35,0.4375,0.4444,0.3125,0.375,0.4444,0.5,0.375,0.2778,0.4167,0.3889,0.45,0.45,0.4545,0.25
"locus3836",0.0417,0.0625,0,0.0455,0,0.1667,0,0,0,0,0,0,0,0.0417,0,0.1667,0,0.1111,0.0833,0.0556,0,0.05,0,0
"locus3837",0.375,0,0,0.3636,0,0,0.0556,0,0.1875,0.1,0.375,0.0556,0,0.125,0.2778,0.1667,0.0625,0.0556,0,0.2778,0.45,0,0.3636,0.0417
"locus3838",0.0833,0.0625,0.05,0.0909,0,0.25,0.1111,0,0.1875,0,0.0625,0.0556,0.125,0.125,0.0556,0,0,0,0.0833,0.1111,0.25,0.1,0.0455,0
"locus3839",0.0833,0,0,0,0,0,0,0.0455,0,0,0,0,0.0625,0,0.1667,0,0,0,0,0.1111,0.1,0,0,0
"locus3840",0.2083,0,0,0,0,0,0,0,0.0625,0.05,0.125,0,0,0.0417,0,0.3333,0,0.0556,0.0833,0.1667,0.1,0,0.3636,0
"locus3841",0,0,0,0,0.2143,0.1667,0.1667,0,0,0.2,0,0.1667,0,0,0,0,0,0,0,0.0556,0,0,0.0455,0.125
"locus3842",0.2083,0,0,0,0,0,0,0,0,0,0.3125,0,0.0625,0,0.1667,0.3333,0,0,0.0833,0.2222,0.2,0,0.2727,0.125
"locus3843",0.0833,0,0.05,0,0,0,0,0.0455,0.0625,0.1,0,0,0,0,0.1667,0,0,0.1111,0,0.0556,0,0,0,0
"locus3844",0.0833,0,0,0.0909,0,0.0417,0,0.0909,0.0625,0,0,0,0.0625,0,0,0.1667,0,0,0,0,0,0.1,0.0455,0.0417
"locus3845",0.0833,0.0625,0.15,0.1364,0,0,0,0.1364,0.0625,0,0.0625,0,0,0.125,0.1667,0.1667,0,0,0.1667,0.0556,0.05,0.05,0.0455,0
"locus3846",0.0417,0.0625,0.1,0,0,0,0,0.0909,0,0,0,0,0,0.0417,0.1111,0,0,0.2778,0,0,0,0,0.0455,0
"locus3847",0,0,0.05,0,0,0.0417,0.2222,0,0,0.05,0.0625,0,0,0.125,0,0,0.0625,0,0.25,0,0,0.05,0.0455,0.1667
"locus3848",0.375,0.5,0.4,0.2727,0.4286,0.5,0.3889,0.4091,0.375,0.25,0.3125,0.3333,0.4375,0.2917,0.2778,0.1667,0.25,0.3889,0.4167,0.1667,0.35,0.4,0.5,0.5
"locus3849",0.1667,0.0625,0.05,0.0455,0,0.0833,0,0.1364,0,0,0.0625,0,0.125,0.0833,0.2778,0,0.0625,0.2778,0,0,0.25,0.05,0.0455,0
"locus3850",0,0,0,0,0,0,0.2222,0,0,0.05,0,0,0,0,0,0,0,0,0.25,0.0556,0,0,0,0.0833
"locus3851",0,0,0.1,0,0,0.0417,0,0.0455,0.0625,0.05,0,0.0556,0.0625,0.2083,0,0,0,0,0,0,0,0.15,0,0
"locus3852",0.125,0.375,0.05,0.2273,0.2857,0.4167,0.2222,0.0455,0.25,0.35,0.0625,0.3889,0.3125,0.1667,0.1111,0.1667,0.125,0.1667,0,0.1111,0.15,0.2,0.1818,0.125
"locus3853",0,0.0625,0,0.0909,0,0.0417,0,0,0.1875,0,0,0.0556,0.0625,0,0,0,0,0,0,0,0.1,0,0,0
"locus3854",0.125,0.125,0.15,0.0455,0,0.125,0.1111,0.0455,0.0625,0,0.0625,0,0.1875,0.125,0,0.1667,0,0.2222,0,0.0556,0.15,0.15,0.0909,0.0833
"locus3855",0.3333,0.4375,0.25,0.4545,0.3571,0.4167,0.3333,0.4545,0.4375,0.5,0.5,0.5,0.4375,0.4167,0.3889,0.5,0.4375,0.3333,0.4167,0.1667,0.3,0.45,0.5,0.4583
"locus3856",0,0.125,0.05,0,0,0,0,0.0455,0,0.4,0,0.3889,0,0,0,0,0,0,0,0,0,0,0,0.0833
