"","AS","BA","BB","BC","CA","CR","DA","FC","FV","GB","KC","MC","ML","OF","PC","PM","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus4295",0.8182,1,1,0.75,1,1,1,0.9375,1,0.875,1,0.9375,1,1,1,1,0.9444,1,1,1,1,0.9091,0.7143,1,0.875,0.9583
"locus4296",1,0.625,1,1,1,0.6364,1,1,1,0.9375,0.6667,1,0.5714,0.9375,1,1,1,1,1,1,1,1,1,1,0.9545,1
"locus4297",1,0.875,0.9,0.9091,1,0.875,1,0.8333,0.9545,0.75,0.9091,1,0.8,1,0.9167,0.9545,0.8125,1,0.875,0.9444,0.9286,0.9545,1,0.8125,0.9545,0.9167
"locus4298",1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,0.9444,1,1,1,1,0.5556,1,1,1,1
"locus4299",0.9583,1,0.95,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,0.95,1
"locus4300",0.1667,0.5,0.1875,0.3571,0.5714,0.5833,0,0.4,0.2222,0.0833,0.9,0.1667,0.8,0.125,0.2222,0.0455,0.1,0.1667,0,0,0.4167,0,0.625,0.1875,0.3571,0.5
"locus4301",1,1,1,1,0.875,0.7778,1,1,1,1,0.6429,1,0.5,1,1,1,1,1,1,1,0.9286,1,1,1,0.9091,1
"locus4302",0.9583,0.875,1,1,1,1,1,1,1,0.9375,1,1,1,1,1,1,1,1,1,1,1,0.6111,0.9,1,1,1
"locus4303",0.1,0.75,0.6111,0.25,0.5,0.4545,0,0.5,0.6429,0.4375,0.7,0.5833,0.4375,0.7,0.7083,0.0455,0.2222,0.3333,0.8125,0.4375,0.7,0.3,0.5,0.3333,0.3636,0.45
"locus4304",0.8333,0.7857,0.75,1,1,0.9167,1,0.8889,0.6364,0.9375,0.9091,0.9375,0.7,0.625,0.5833,0.9545,1,1,0.6429,0.6667,1,0.6667,0.95,0.8,0.8182,0.9545
"locus4305",0,0.125,0,0,0,0.1667,0,0,0,0,0.4444,0,0.5,0.0625,0,0,0,0,0,0,0,0,0.05,0,0.0455,0.0833
"locus4306",0.9167,1,0.95,0.9545,1,1,1,1,0.9545,1,0.9091,1,1,1,1,1,0.7222,1,0.875,1,0.9286,0.9091,0.85,0.9,0.9091,0.875
"locus4307",0.0455,0,0.1429,0.35,0,0.0417,0,0.1111,0.1667,0,0,0,0.1,0,0.05,0,0.0556,0.1667,0.2857,0.0625,0.25,0.3333,0.3571,0.375,0,0.0417
"locus4308",0.9583,1,0.8,0.95,1,1,1,1,0.75,1,1,1,1,1,0.8333,1,1,1,0.9375,0.9444,0.9286,1,0.95,0.8,1,1
"locus4309",0.875,0.9375,1,1,1,0.6364,1,0.75,1,0.875,1,0.9286,0.95,0.9375,0.9583,0.9545,0.9444,1,1,0.8889,1,1,0.95,1,0.9,0.5909
"locus4310",0.5455,0.625,1,0.5714,0.9,0.8333,1,0.9,0.8125,0.9286,1,1,1,0.625,0.9091,1,0.625,1,0.75,0.3,0.6667,1,0.5,0.4375,0.5833,0.7273
"locus4311",1,1,1,1,0.7222,0.8333,1,0.9375,1,1,1,1,1,1,1,1,1,1,0.9375,1,1,1,1,1,1,0.9167
"locus4312",0.0833,0.2857,0.1,0,0.0833,0.0455,0.3333,0.0556,0.0909,0.25,0.05,0.125,0.35,0.1875,0.0417,0.25,0.0556,0,0,0,0.0833,0,0.1,0.15,0.1364,0.125
"locus4313",0.7727,0.5625,0.6,0.4444,0.3125,0.3333,0.6667,0.2222,0.5556,0.3333,0.1364,0.2,0.125,0.4375,0.35,0.8889,0.75,0.25,0.2857,0.6667,0.4167,0.8182,0.4375,0.4167,0.6,0.2222
"locus4314",0,0,0.05,0.35,0,0,0,0,0.1364,0,0.0909,0,0,0,0.0455,0,0,0,0,0,0,0,0,0.05,0.1364,0.1818
"locus4315",0.5,0.5714,0.5556,0.4444,0.4,0.3333,0.25,0.3571,0.6364,0.2857,0.5455,0.4,0.65,0.6667,0.2,0.0625,0.5625,0.6667,0.2857,0.6875,0.375,0.8182,0.5556,0.3125,0.5556,0.5455
"locus4316",0,0.0625,0,0.2778,0.125,0.2857,0,0.0556,0.0909,0,0.1,0.0625,0,0,0.0417,0.0909,0.2222,0,0.1875,0,0,0,0,0,0,0.0417
"locus4317",1,0.9375,0.9,1,1,0.9091,1,1,1,1,0.95,0.9375,1,1,0.875,1,0.9375,1,0.9375,1,1,1,1,1,1,1
"locus4318",0.9583,1,1,1,0.8889,0.9583,0.9,1,1,1,1,1,1,1,1,1,0.9444,1,1,0.9444,1,0.75,1,1,0.9545,0.9167
"locus4319",0.65,0.875,0.9375,0.7778,1,0.9545,1,0.8125,0.75,1,0.9545,0.7857,1,0.875,0.75,1,0.6,0.75,0.9167,0.7143,0.9,0.8,1,0.7778,0.8889,0.7917
"locus4320",0.5556,0.5,0.625,0.5,0.5714,0.5,1,0.25,0.7143,0.3333,0.3333,0.5,0.0556,0.25,0.3636,0.875,0.3571,0.6667,0.5,0.5833,0.4,0.5833,0.5,0.5,0.5556,0.5455
"locus4321",1,1,1,0.65,0.8889,1,0.7,1,1,1,1,0.875,1,1,1,1,0.9444,1,1,0.9444,1,1,0.95,1,1,1
"locus4322",0.5625,0.9375,0.8333,0.9444,0.9167,0.8333,NA,0.9375,0.8889,0.9375,1,0.5,1,0.8333,0.7917,0.5,0.75,0.5,0.875,1,0.9167,1,0.8333,0.75,0.5833,0.8
"locus4323",1,1,0.95,1,1,1,0.9,1,0.9091,1,1,1,0.95,0.6875,1,1,0.8889,1,0.875,0.9444,1,0.9545,1,0.9,1,1
"locus4324",0.9167,1,0.9,0.85,1,1,1,1,0.9545,0.9375,1,1,0.85,1,0.9167,1,0.8889,1,0.875,0.9444,0.9286,1,1,1,1,1
"locus4325",0.5455,0.9167,0.7143,0.8333,1,0.8,0,1,0.625,0.5833,0.5,0.9167,0.3333,0.75,0.8,0.0455,0.6667,0.6667,0.8125,0.5714,0.8333,0.7143,0.6667,0.6667,0.5714,1
"locus4326",0.6364,0.5,0.4286,0.4,0.375,0.3636,0.2,0.3889,0.3,0.6429,0.0455,0.1,0.1,0.5,0.4091,0.3,0.5,0,0.4286,0.5714,0.3,0.5455,0.55,0.5,0.5,0.2273
"locus4327",1,0.9375,0.95,0.9545,1,0.9545,1,1,1,1,0.9167,1,0.8333,0.9375,0.9583,0.9545,1,1,0.875,1,0.8571,1,1,1,1,1
"locus4328",0.25,0.25,0,0,0.25,0.0556,0,0,0.1364,0.3,0.05,0.125,0.375,0,0,0.0909,0.1667,0,0,0.2778,0,0,0.0556,0.0556,0.0625,0.1875
"locus4329",1,1,1,1,0.8333,0.875,1,0.875,0.9545,1,1,1,1,1,1,1,1,0.8333,0.875,1,1,1,0.95,0.9,0.8636,0.875
"locus4330",0.7727,0.6875,0.75,0.7273,0.7778,0.7083,1,0.9444,0.8182,0.625,0.55,1,0.75,0.5625,0.6667,0.6818,0.7778,0.8333,0.7857,0.6667,0.9167,0.8182,0.8,0.8,0.6667,0.9583
"locus4331",0.8333,0.4286,0.875,1,0.3333,0.35,1,0.8333,0.9,0.8,0.1875,0.9167,0.4,0.9,0.75,0.9545,1,0.8333,0.625,0.9444,0.875,1,0.95,0.9444,0.8571,0.65
"locus4332",0.875,0.4286,0.5,0.5556,0.1875,0.2727,1,0.1429,0.6111,0.6,0.4444,0.4375,0.3125,0.5833,0.35,0.9545,0.6875,0.75,0.5833,0.7857,0,0.9444,0.5,0.3571,0.6,0.1667
"locus4333",0.9091,0.875,0.7857,0.9091,1,1,1,1,0.8636,1,1,0.8571,1,0.9375,0.8636,1,0.9444,1,0.875,0.8333,0.9286,0.8,1,0.95,1,1
"locus4334",1,0.8571,1,1,1,1,1,1,0.9545,1,0.9,1,0.8,1,1,1,0.9444,1,0.9375,0.9444,1,1,0.8,1,1,1
"locus4335",0.0417,0.0625,0,0,0,0,0,0,0,0,0,0.0625,0,0.125,0,0,0,0.1667,0,0,0,0.2273,0,0.0556,0,0
"locus4336",1,0.75,1,1,0.9286,0.8,1,1,0.9545,1,0.4375,1,0.4286,0.9375,0.9583,1,1,1,0.9375,1,1,1,0.95,1,1,1
"locus4337",1,1,1,1,1,0.9583,1,1,0.9091,1,0.9545,0.9286,1,1,0.9583,1,1,1,0.875,1,0.8571,1,0.9,1,1,1
"locus4338",1,0.875,0.9,0.8636,0.9444,0.7273,1,0.9444,0.9,0.9375,0.9091,1,1,1,0.8333,0.9091,1,0.6667,0.875,0.9444,0.9286,1,0.8,0.95,0.9545,0.8636
"locus4339",1,1,1,1,1,0.9583,1,0.8889,0.9545,1,1,1,1,0.9375,1,0.75,0.8889,1,1,0.875,1,1,1,1,1,1
"locus4340",0.8333,1,0.95,0.9545,1,1,1,0.9444,0.9091,1,1,0.9375,1,0.9375,1,1,1,1,0.7143,1,0.8571,1,1,1,0.9545,0.9583
"locus4341",0.9167,1,1,0.8636,1,0.9583,1,1,1,0.9375,0.9545,1,0.95,1,1,1,1,1,1,1,1,1,1,0.95,0.9545,0.85
"locus4342",1,1,1,1,0.9444,0.9167,1,1,0.8636,1,1,0.9286,1,0.9375,1,0.9545,0.9444,1,0.9375,1,0.9286,1,1,0.95,0.9545,0.9583
"locus4343",0.8636,0.75,0.9,0.5556,1,0.8182,0.6,0.9,0.75,0.6875,0.9,1,1,1,0.6111,0.4286,0.9375,0.8333,1,1,1,0.6429,0.8,0.6429,0.9286,0.7222
"locus4344",0.9583,1,1,0.9545,1,1,1,1,1,1,0.9545,0.875,1,1,1,0.9545,1,1,1,1,0.9286,1,1,0.8,1,1
"locus4345",0,0.2,0.1,0.0455,0.0714,0.25,0.1,0.0556,0.0455,0,0.05,0,0.1667,0.0625,0.0909,0,0,0,0.0714,0.0556,0,0,0,0.05,0.0909,0.0833
"locus4346",0.2222,0.25,0.2,0.0909,0,0,1,0.125,0.3,0.6875,0,0.25,0.6875,1,0,0.95,0.5,0.25,0.25,0.6667,0,0.3125,0.125,0.1,0.25,0.0417
"locus4347",0.6875,1,0.95,0.5714,1,0.8333,1,1,1,1,0.9545,0.9375,1,1,0.9545,1,0.9375,1,1,0.9444,1,0.8,0.7778,0.95,1,1
"locus4348",0.6111,0.7143,0.6667,0.5,0.6667,0.55,0.4,0.375,0.6,0.5,0.4,0.5833,0.4444,0.8125,0.625,0.5455,0.75,0.75,0.6429,0.7222,0.3333,0.9444,0.6111,0.625,0.3889,0.5455
"locus4349",1,0.9375,1,1,1,0.9583,1,1,1,1,1,1,0.9,1,1,1,1,1,0.9375,1,1,0.9545,0.8889,0.9,1,1
"locus4350",0.5909,0.5714,0.7857,0.5625,1,1,0.625,0.8889,0.8571,0.7,0.8333,0.75,0.5,0.7,0.6667,0.5,0.125,0.6667,0.7857,0.75,0.9167,0.7778,0.4375,0.7222,0.7778,0.7273
"locus4351",1,1,0.7,1,1,1,1,0.8889,0.9091,1,1,1,1,0.875,0.75,1,1,0.8333,0.9375,1,1,1,1,1,1,1
"locus4352",0,0,0,0,0.1875,0.1667,0,0,0,0.125,0.1818,0,0,0,0.0417,0,0,0,0,0.0556,0.0714,0,0,0,0.0455,0.2083
"locus4353",0.8333,0.9375,0.95,0.9,1,1,1,1,0.9545,1,1,0.9375,1,0.875,1,1,0.8333,0.8333,1,1,1,0.9545,1,1,0.9545,1
"locus4354",0.0833,0.125,0,0.0909,0,0.0417,0,0.1667,0.0455,0.125,0,0,0,0.0625,0.0417,0.0455,0,0,0.0625,0,0,0,0,0.15,0,0.125
"locus4355",0.9167,0.7857,0.95,0.85,1,0.9583,1,0.875,0.9,0.9375,0.9545,1,0.9444,1,0.9167,0.9545,0.9444,0.8333,1,0.8333,1,1,0.9,0.95,0.9545,0.8636
"locus4356",0.75,0.9375,1,0.5909,0.9444,1,1,1,0.8636,0.9375,1,0.9375,1,0.9375,0.8182,0.9545,0.8889,1,0.9167,0.8889,0.9167,1,0.8889,0.65,0.9545,1
"locus4357",0.0714,0,0.05,0,0.0556,0,0.1,0,0.0455,0,0,0,0,0.0625,0.125,0,0.1,0,0,0.2222,0,0.5556,0.2,0.1,0,0
"locus4358",0.9545,1,1,0.8636,1,1,0.875,0.9444,1,1,0.9545,1,1,1,1,0.9091,1,1,1,1,0.9167,1,1,1,0.95,0.9583
"locus4359",1,1,0.95,0.8182,0.9444,1,1,1,0.9545,0.9375,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1
"locus4360",1,0.8571,0.7778,0.85,0.8571,0.9583,1,0.8571,0.85,0.9286,1,0.9286,0.95,0.9375,0.9583,1,0.8889,1,0.9375,1,1,0.8636,0.95,1,0.8182,0.8333
"locus4361",0.9091,1,0.9444,1,1,1,1,1,0.9091,0.9375,1,1,1,0.875,1,0.9545,1,0.8333,1,0.8333,1,0.9091,0.95,0.95,0.9545,1
"locus4362",0.9167,1,1,1,1,1,0.8,1,0.9545,0.875,1,1,1,0.9375,0.9583,0.7143,1,1,1,1,1,1,1,0.95,1,1
"locus4363",0.25,0.0625,0.15,0,0.0556,0.0417,1,0,0.0455,0.375,0,0,0.05,0,0.0417,0.8333,0,0,0,0.2778,0,0,0.1667,0,0.0455,0
"locus4364",1,1,0.95,1,1,1,1,1,0.8182,1,1,1,1,0.9286,0.9167,0.85,1,1,1,0.8333,1,1,1,0.75,1,1
"locus4365",0.7,0.7143,0.9,0.85,0.5714,0.5,1,1,0.9545,0.8333,0.1818,0.8333,0.2778,0.9286,0.9545,1,0.8889,0.8333,0.8571,1,1,0.7727,0.7222,0.9,0.7222,0.875
"locus4366",0.2727,0.6,0.625,0.4444,0.6667,0.5,0,0.3125,0.5,0.2857,0.9286,0.4375,0.75,0.4,0.5556,0.3125,0.1667,0.5,0.4167,0.4167,0.3,0.2727,0.3125,0.2857,0.5,0.5
"locus4367",0.4545,0.4375,0.4375,0.4444,0.5714,0.5,1,0.5,0.3636,0.5714,0.1818,0.5714,0.2,0.4286,0.5417,0.8182,0.5,0.25,0.5,0.7222,0.5,0.1,0.5,0.4,0.5909,0.4583
"locus4368",0.5,0.4286,0.2778,0.55,0.4286,0.4583,0.6667,0.4444,0.2273,0.5,0.3333,0.4,0.65,0.375,0.4583,0.375,0.4375,0.5,0.3125,0.4444,0.4,0.3636,0.4375,0.3,0.35,0.4091
"locus4369",0.8889,0.875,0.75,0.9091,0.875,0.7273,0.9,0.7857,0.7727,1,0.6364,0.7143,0.95,0.8571,0.7,0.95,0.625,0.5,0.8571,0.9444,0.9,0.5714,0.875,0.6667,0.8,0.9167
"locus4370",0.9583,0.875,0.95,1,1,0.8636,1,1,1,1,0.9545,1,0.95,1,0.875,1,1,1,1,1,1,1,1,1,1,1
"locus4371",0.0417,0.0625,0.05,0.15,0,0,0,0.25,0,0,0,0,0.05,0,0,0.0909,0.0556,0,0,0.0556,0,0.0455,0.2222,0.05,0.0455,0.4375
"locus4372",0,0.0714,0,0,0.4444,0.0417,0,0.2778,0,0,0,0,0,0,0.1667,0,0,0,0,0.0556,0,0.3333,0.05,0.05,0,0.3636
"locus4373",0.8333,0.9286,0.95,0.9545,0.6667,0.7143,1,1,0.9545,0.875,0.9,1,0.9167,1,1,1,0.9444,1,1,0.9444,1,0.95,0.8333,0.95,0.8571,0.75
"locus4374",0,0,0,0.0455,0,0.0417,0,0,0,0.0625,0.1875,0,0.3333,0,0,0,0,0.1667,0,0,0,0.0455,0.15,0.05,0,0
"locus4375",0.7143,1,0.8125,0.95,1,1,1,1,0.9,1,1,0.9375,1,0.9286,0.875,0.9545,1,1,0.8125,0.8333,1,1,0.5714,0.9,1,1
"locus4376",0.9545,0.8571,1,1,1,0.7727,1,1,1,1,0.8182,1,0.8,1,1,1,1,1,1,0.9444,1,1,0.95,1,0.9545,0.9583
"locus4377",0.0833,0.0625,0.05,0,0,0,0,0,0,0,0,0,0,0.0625,0.0417,0,0.0556,0,0.0625,0,0,0.0455,0,0.05,0.1364,0
"locus4378",0.9583,0.9375,0.9,1,0.8125,0.9545,1,0.8333,1,1,0.9091,0.9375,1,1,0.9545,0.9545,1,1,0.9375,1,0.9286,0.9545,0.95,0.9,0.9545,0.7
"locus4379",1,1,0.9,1,1,1,1,1,1,1,1,1,1,0.8125,0.9167,1,0.7778,1,0.8125,0.9444,1,1,1,1,0.9091,1
"locus4380",0.9583,1,0.95,1,1,1,1,1,0.8636,1,1,1,1,0.875,1,1,1,0.8333,1,0.8333,1,0.9545,0.95,0.95,1,1
"locus4381",1,1,0.7857,1,1,1,1,0.9444,0.8636,1,1,1,1,1,0.85,1,1,1,0.6875,1,1,1,1,0.7778,1,1
"locus4382",0.95,0.5,0.7,1,0.8571,0.8182,0.6667,0.7778,0.75,1,0.5625,0.75,0.2222,0.8333,0.5714,0.9286,0.7857,0.5,0.5714,1,0.75,1,1,0.7857,0.8333,0.9375
"locus4383",0,0,0.05,0.2,0.3333,0.3125,0,0.1875,0.2,0.1875,0.3333,0.0714,0.4444,0.125,0.0455,0.05,0,0,0,0.0556,0.125,0.2727,0.1,0.1111,0.2273,0.2727
"locus4384",0.9583,0.875,1,0.7222,1,0.85,1,1,1,0.8125,0.95,0.9375,0.875,1,1,1,1,1,1,1,0.9286,0.9545,0.85,1,0.95,0.875
"locus4385",0.9091,0.9375,0.75,0.9545,1,0.875,0.6,1,0.9091,0.6875,0.9545,0.8571,0.95,0.9375,0.8333,0.35,0.8889,0.8333,0.8125,0.9444,1,1,0.95,0.95,0.8182,1
"locus4386",1,0.9375,0.9,1,0.8889,1,1,0.875,0.8,1,1,1,1,1,0.9167,1,1,1,0.9375,1,0.9286,0.9091,1,0.95,0.9545,0.9091
"locus4387",0.05,0.1875,0.15,0.5,0.0556,0.0417,0,0.0625,0,0.125,0.0909,0.125,0,0.25,0.4,0,0,0.5,0.0714,0,0.2143,0.1364,0.1667,0.05,0,0.1667
"locus4388",0.8333,0.8125,0.9,0.8,1,0.8125,0,0.8333,1,0.6667,0.875,0.875,0.875,0.9375,0.9167,0.25,0.5833,1,0.8125,0.5,0.9286,0.8889,0.7778,0.75,0.6667,1
"locus4389",0.6667,0.9167,0.7,0.55,0.9286,0.9091,1,0.875,0.8125,0.5,0.8333,0.9167,0.8,0.7857,0.8182,0.9545,0.5,0.3333,0.8,0.9167,0.75,0.6,0.8125,0.6429,1,0.6667
"locus4390",0.5455,0.6875,0.75,0.5,0.8889,0.8333,0.5,0.8125,0.75,0.4375,0.9545,0.8125,0.95,0.9286,0.8182,0.4444,0.5,0.75,0.8125,0.6875,0.9286,0.5,0.5556,0.6667,0.7273,0.9167
"locus4391",0.85,0.7857,0.8125,0.875,0.875,0.6,1,0.8889,0.9,1,0.3889,0.75,0.3571,0.875,0.7,0.9545,1,0.8333,0.6875,0.8125,0.8571,0.55,0.9,0.7778,0.8889,0.9583
"locus4392",0.9167,1,1,1,1,1,0.9,1,0.8636,1,0.9545,1,0.85,0.9167,1,1,0.8889,0.8333,0.7857,0.8333,1,0.9545,0.8,1,1,1
"locus4393",0.9583,0.9375,0.95,1,1,0.9583,1,1,1,0.8125,1,0.9375,1,1,0.9545,1,1,1,0.8125,0.9444,1,1,0.9,1,1,1
"locus4394",1,0.875,1,1,1,1,1,0.9444,0.9545,1,1,1,1,0.9375,0.9583,0.9545,1,1,1,1,1,1,0.8,0.95,1,1
"locus4395",1,1,1,0.9091,1,1,1,1,1,1,0.9545,0.9375,1,1,0.9583,1,1,0.6667,1,1,0.9167,1,1,1,1,0.9583
"locus4396",0.6364,0.25,0.1429,0.35,0,0.25,1,0.3125,0.4091,0.8333,0,0.2,0,0.0714,0.15,0.9444,0.6875,0,0.1875,0.5625,0,0.5,0.2222,0.1875,0.6111,0.0714
"locus4397",0,0,0.1,0.0455,0.1111,0.125,0.125,0.0556,0,0.125,0.0455,0,0.05,0.0625,0.0909,0.15,0,0,0.1429,0.1111,0.25,0,0,0.05,0.0455,0.0417
"locus4398",1,1,1,1,1,1,0.875,0.9444,1,0.9375,1,1,1,1,1,0.5,1,0.8333,1,1,1,1,1,1,1,1
"locus4399",1,0.9286,0.95,1,0.8889,0.8636,0.1,1,0.9091,0.7143,0.9,1,1,0.8125,1,0.4091,0.875,1,1,0.8333,1,1,0.9,0.8,0.8636,1
"locus4400",0.0417,0.1667,0,0,0,0,0,0.125,0,0,0.1364,0,0,0.0625,0.0833,0,0,0,0.125,0,0,0.0909,0,0,0.0455,0
"locus4401",0.9583,1,1,0.6818,1,0.9583,1,1,1,0.875,1,0.875,1,0.875,1,1,0.8333,0.8333,1,0.9444,1,1,1,1,1,1
"locus4402",0.125,0.7143,1,0.5909,1,0.9583,0.2,1,1,0.875,1,0.7857,1,0.8571,0.875,1,0.3333,0.8333,0.9375,0.5,1,0.45,0.55,1,0.7,0.9091
"locus4403",1,0.9375,0.85,1,1,0.9583,1,1,1,1,1,1,1,0.875,0.8333,0.9545,1,1,0.6875,0.8889,1,1,0.95,0.95,1,0.9583
"locus4404",1,0.9375,1,1,1,0.8333,1,1,1,0.875,0.8571,1,0.8125,1,0.9583,1,1,1,0.9375,1,1,1,1,1,1,0.9167
"locus4405",1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,0.9583,1,1,0.8333,1,1,1,0.5,1,1,0.9545,1
"locus4406",1,0.8571,0.8333,0.8182,0.5,0.6875,0.9,0.8889,0.8636,0.8571,0.875,0.8125,0.8,0.8571,0.65,1,0.6429,0.6667,0.6875,0.8125,0.75,0.9091,0.8333,0.8,0.8889,0.8333
"locus4407",0.625,0.7857,0.95,0.8636,0.875,0.6364,0.6,0.9286,0.8636,0.7857,0.45,0.8125,0.5714,0.6875,0.9167,0.3333,0.9444,1,0.875,0.5,1,0.5455,0.8889,0.6,0.9091,1
"locus4408",0.4545,0.4,0.8571,0.7222,0.6667,0.125,0.8,0.5625,0.7,1,0.625,0.6667,0.3571,1,0.8125,0.95,0.3889,0.1667,1,0.875,1,0.1875,0.45,0.9444,0.5,0.6875
"locus4409",0.75,1,1,1,1,1,1,1,1,1,0.95,1,1,0.9375,1,1,0.9444,0.8333,1,1,1,1,0.95,1,0.9545,1
"locus4410",0.5556,0.8571,0.6429,0.625,0.75,0.8125,1,0.5556,0.5,0.9286,0.9545,0.75,0.9444,0.4,0.65,NA,0.5625,0.5,0.5,0.8333,0.5833,0.6429,0.6111,0.6429,0.75,0.25
"locus4411",0.05,0.5,0.375,0.25,0.4167,0.7727,0,0.6429,0.1875,0.5,0.5833,0.3571,0.5,0.2,0.5,0,0.1667,0,0.6,0.2222,0.5,0.0909,0.0714,0.125,0.25,0.6875
"locus4412",0.2273,0.25,0.25,0.5,0.4286,0.15,0,0.3571,0.1667,0.2143,0.2143,0.0833,0.25,0.375,0.2222,0,0.3333,0.5,0.4,0.0556,0.5,0.5,0.2,0.6111,0.1,0.45
"locus4413",0.9286,0.875,1,0.8125,1,0.9167,1,0.9444,1,0.9375,0.9091,0.875,1,0.875,0.9583,1,0.8571,1,0.875,1,0.9286,1,0.8125,0.9,1,0.9583
"locus4414",0.9167,0.8125,0.9,0.9091,0.8889,0.875,1,0.8333,1,0.8125,1,1,0.8889,1,0.9167,0.8636,0.9444,1,0.9375,0.7778,0.9286,1,0.9,1,0.9545,1
"locus4415",0.75,1,0.9,1,1,1,1,1,0.6818,1,1,0.9375,0.85,0.875,0.9167,1,0.6667,1,1,0.9444,1,1,1,0.9,0.95,1
"locus4416",0.9167,0.75,0.9,0.8636,1,0.8333,1,0.875,0.9545,0.875,0.8636,0.9375,0.9,0.875,0.9583,1,1,1,0.8571,0.9444,0.9286,1,0.85,0.75,0.9091,0.95
"locus4417",0.6875,0.6,0.25,0.6667,0.875,0.55,0.9,0.7857,0.6111,1,0.2143,0.6667,0.3571,0.4286,0.45,0.7778,0.4375,0.6667,0.5,0.7143,0.6429,0.8,0.6667,0.55,0.5625,0.8333
"locus4418",0.9545,1,0.95,0.9091,1,1,0.9,1,0.8182,1,1,1,1,0.875,1,1,0.8333,1,1,0.9444,0.9167,1,1,0.9,0.8889,0.9583
"locus4419",0.0417,0.3571,0.25,0.1364,0.25,0.05,0,0.1111,0.1111,0.0625,0.35,0.1667,0,0.125,0.1818,0,0,0,0.2143,0.2222,0,0,0.1,0.1,0.2,0.0455
"locus4420",0.125,0,0,0.1667,0,0,0,0.0556,0.0455,0.25,0,0,0,0.3125,0.0417,0,0,0.1667,0,0,0,0,0.1,0,0.0909,0.1667
"locus4421",1,0.875,0.85,1,0.3333,0.9583,1,0.7778,0.9545,0.875,1,0.9286,1,0.875,1,1,1,0.8333,0.875,0.8889,0.8333,1,0.85,1,0.7273,0.6
"locus4422",0.0833,0.125,0.1,0,0,0.3,0,0.1111,0.0455,0,0.0455,0,0.05,0,0.0417,0,0,0,0.125,0.0556,0.0714,0,0.05,0,0.0455,0.0833
"locus4423",0.9583,0.9375,0.95,0.8636,1,0.9167,1,1,0.9545,1,1,0.9375,0.9,0.8571,1,1,1,1,0.8571,1,1,1,1,0.95,0.9545,1
"locus4424",0.5909,0.3125,0.5,0.4286,0.3125,0.3333,0.9,0.5,0.6111,0.2143,0.0909,0.25,0.2,0.3571,0.6111,0.4375,0.7778,0.8333,0.5833,0.7778,0.375,0.5,0.5625,0.2778,0.6111,0.5
"locus4425",0.4091,0.125,0.25,0.5,0,0.1667,0.9,0.1111,0.2,0.25,0.1,0.1875,0.2,0.0625,0.0833,0.5,0.25,0.5,0.125,0.2778,0,0.7273,0.5556,0.45,0.3636,0.05
"locus4426",1,1,1,1,0.8889,1,1,1,0.8636,0.9375,0.9545,1,0.95,0.875,0.9167,1,1,1,1,1,1,1,0.9444,1,1,1
"locus4427",0.9091,1,1,0.6818,1,0.9583,1,0.9444,1,1,1,1,1,0.9375,0.9583,0.9,1,1,0.9375,0.75,1,0.9545,1,1,0.9545,1
"locus4428",0.9583,1,1,1,1,1,1,1,0.8636,1,1,1,1,1,1,1,1,1,0.8571,0.7222,1,0.9545,0.95,0.95,1,0.9583
"locus4429",0.8,1,0.9,0.7143,1,0.9167,1,0.8889,0.9545,0.9,0.95,0.9,1,0.8333,0.8182,0.9091,0.9444,1,0.875,1,1,0.8333,0.75,0.8333,1,0.875
"locus4430",0.6875,0.8,0.75,0.625,0.9375,0.75,1,1,0.6111,1,0.875,0.6667,1,0.8571,0.7083,0.9545,0.875,0.8333,0.5714,0.8333,1,0.2727,0.5,0.7778,0.95,0.75
"locus4431",0.8333,0.8125,0.8889,0.75,0.875,0.875,0.1,0.9444,0.7273,0.5714,0.6818,1,0.75,0.7143,0.85,0.2,0.5625,1,0.75,0.75,1,0.875,0.75,0.8333,0.9091,0.8636
"locus4432",0.875,1,1,1,1,1,0.8,1,1,0.9286,0.9091,0.9375,0.75,1,1,1,1,1,0.9375,1,1,1,0.95,1,0.9091,1
"locus4433",0.9583,0.9375,1,1,0.5,1,1,0.5,1,1,1,0.625,1,1,0.9583,1,1,0.6667,1,1,1,0.75,0.9375,0.95,0.9,0.5714
"locus4434",0.7727,1,1,0.9091,0.8333,1,1,0.9444,1,0.9375,0.9545,1,1,0.8125,0.9583,0.95,0.875,0.75,0.9375,1,0.9286,0.9545,1,1,0.7727,0.9583
"locus4435",1,1,1,1,1,1,1,0.7778,1,1,1,1,1,1,0.9167,1,1,1,0.9375,1,1,1,1,0.85,1,0.75
"locus4436",0.2273,0.3333,0.2,0.0625,0,0.4,0,0.1667,0.25,0,0.1667,0.25,0,0.25,0.125,0.2273,0,0.5,0.3,0.3125,0.25,0.3125,0,0.375,0.1667,0.25
"locus4437",0.625,0.875,0.7857,0.55,0.8571,0.6818,1,0.75,0.6667,0.7857,0.8636,0.9,0.8125,0.9286,0.9091,0.9091,0.625,0.8333,0.8125,0.75,0.75,0.3182,0.9286,0.8333,0.8571,0.75
